PathID,GeneID
hsa00053,hsa:7364
hsa00053,hsa:7365
hsa00053,hsa:7366
hsa00053,hsa:7367
hsa00053,hsa:79799
hsa00053,hsa:9104
hsa00061,hsa:2180
hsa00061,hsa:2181
hsa00061,hsa:2182
hsa00061,hsa:2194
hsa00061,hsa:23205
hsa00061,hsa:23305
hsa00061,hsa:27349
hsa00061,hsa:31
hsa00061,hsa:32
hsa00061,hsa:51703
hsa00061,hsa:54995
hsa00061,hsa:55301
hsa00061,hsa:81616
hsa00062,hsa:10449
hsa00062,hsa:10965
hsa00062,hsa:11332
hsa00062,hsa:122970
hsa00062,hsa:1892
hsa00062,hsa:201562
hsa00062,hsa:3030
hsa00062,hsa:3032
hsa00062,hsa:3033
hsa00062,hsa:401494
hsa00062,hsa:51102
hsa00062,hsa:51144
hsa00062,hsa:51495
hsa00062,hsa:54898
hsa00062,hsa:5538
hsa00062,hsa:60481
hsa00062,hsa:641371
hsa00062,hsa:64834
hsa00062,hsa:6785
hsa00062,hsa:79071
hsa00062,hsa:79993
hsa00062,hsa:83401
hsa00062,hsa:9200
hsa00062,hsa:9374
hsa00062,hsa:9524
hsa00071,hsa:10449
hsa00071,hsa:10455
hsa00071,hsa:124
hsa00071,hsa:125
hsa00071,hsa:126
hsa00071,hsa:126129
hsa00071,hsa:127
hsa00071,hsa:128
hsa00071,hsa:130
hsa00071,hsa:131
hsa00071,hsa:1374
hsa00071,hsa:1375
hsa00071,hsa:1376
hsa00071,hsa:1579
hsa00071,hsa:1632
hsa00071,hsa:1892
hsa00071,hsa:1962
hsa00071,hsa:217
hsa00071,hsa:2180
hsa00071,hsa:2181
hsa00071,hsa:2182
hsa00071,hsa:219
hsa00071,hsa:223
hsa00071,hsa:224
hsa00071,hsa:23205
hsa00071,hsa:23305
hsa00071,hsa:2639
hsa00071,hsa:284541
hsa00071,hsa:30
hsa00071,hsa:3030
hsa00071,hsa:3032
hsa00071,hsa:3033
hsa00071,hsa:33
hsa00071,hsa:34
hsa00071,hsa:35
hsa00071,hsa:36
hsa00071,hsa:37
hsa00071,hsa:38
hsa00071,hsa:39
hsa00071,hsa:501
hsa00071,hsa:51
hsa00071,hsa:51703
hsa00071,hsa:81616
hsa00071,hsa:8310
hsa00072,hsa:3155
hsa00072,hsa:3157
hsa00072,hsa:3158
hsa00072,hsa:38
hsa00072,hsa:39
hsa00072,hsa:5019
hsa00072,hsa:54511
hsa00072,hsa:56898
hsa00072,hsa:622
hsa00072,hsa:64064
hsa00100,hsa:1056
hsa00100,hsa:10682
hsa00100,hsa:10826
hsa00100,hsa:120227
hsa00100,hsa:1591
hsa00100,hsa:1594
