Direct Annotation	Annotation Label	Ontology	Ontology	Taxon	Maybe
GO:0048260	positive regulation of receptor-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0048261	negative regulation of receptor-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0048388	endosomal lumen acidification	P	protein	NCBITaxon:9606	Yes
GO:0048488	synaptic vesicle endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0051036	regulation of endosome size	P	protein	NCBITaxon:9606	Yes
GO:0055037	recycling endosome	C	protein	NCBITaxon:9606	Yes
GO:0055038	recycling endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:0061502	early endosome to recycling endosome transport	P	protein	NCBITaxon:9606	Yes
GO:0061738	late endosomal microautophagy	P	protein	NCBITaxon:9606	Yes
GO:0070086	ubiquitin-dependent endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0070381	endosome to plasma membrane transport vesicle	C	protein	NCBITaxon:9606	Yes
GO:0071203	WASH complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0071439	clathrin complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0071682	endocytic vesicle lumen	C	protein	NCBITaxon:9606	Yes
GO:0071986	Ragulator complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0072583	clathrin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0072584	caveolin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0090118	receptor-mediated endocytosis of low-density lipoprotein particle involved in cholesterol transport	P	protein	NCBITaxon:9606	Yes
GO:0097422	tubular endosome	C	protein	NCBITaxon:9606	Yes
GO:0097443	sorting endosome	C	protein	NCBITaxon:9606	Yes
GO:0098559	cytoplasmic side of early endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:1900186	negative regulation of clathrin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:1900244	positive regulation of synaptic vesicle endocytosis	P	protein	NCBITaxon:9606	Yes
GO:1902774	late endosome to lysosome transport	P	protein	NCBITaxon:9606	Yes
GO:1902823	negative regulation of late endosome to lysosome transport	P	protein	NCBITaxon:9606	Yes
GO:1902824	positive regulation of late endosome to lysosome transport	P	protein	NCBITaxon:9606	Yes
GO:1902954	regulation of early endosome to recycling endosome transport	P	protein	NCBITaxon:9606	Yes
GO:1902966	positive regulation of protein localization to early endosome	P	protein	NCBITaxon:9606	Yes
GO:1904980	positive regulation of endosome organization	P	protein	NCBITaxon:9606	Yes
GO:1990126	"retrograde transport, endosome to plasma membrane"	P	protein	NCBITaxon:9606	Yes
GO:2000369	regulation of clathrin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:2000370	positive regulation of clathrin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:2000397	positive regulation of ubiquitin-dependent endocytosis	P	protein	NCBITaxon:9606	Yes
GO:2000641	regulation of early endosome to late endosome transport	P	protein	NCBITaxon:9606	Yes
GO:2000642	negative regulation of early endosome to late endosome transport	P	protein	NCBITaxon:9606	Yes
GO:2000643	positive regulation of early endosome to late endosome transport	P	protein	NCBITaxon:9606	Yes
GO:2001135	regulation of endocytic recycling	P	protein	NCBITaxon:9606	Yes
GO:2001137	positive regulation of endocytic recycling	P	protein	NCBITaxon:9606	Yes
GO:2001286	regulation of caveolin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:2001287	negative regulation of caveolin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:2001288	positive regulation of caveolin-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
