Uniprot ID	Gene	Early	GPCR	Traffic	Cargo	Manual	Network Curated
P57768	SNX16	Yes					
Q15036	SNX17	Yes					
Q96RF0	SNX18	Yes					
O60749	SNX2	Yes		Yes			
Q7Z614	SNX20	Yes					
Q969T3	SNX21	Yes					
Q96L92	SNX27	Yes					
O60493	SNX3	Yes					
O95219	SNX4	Yes					
Q9Y5X3	SNX5	Yes		Yes			
Q9UNH7	SNX6	Yes		Yes			
Q92673	SORL1	Yes			Yes		
Q99523	SORT1	Yes			Yes		
P12931	SRC	Yes					
Q92783	STAM	Yes		Yes			
O75886	STAM2	Yes		Yes			Yes
O60499	STX10	Yes					
Q13277	STX3	Yes					
Q13190	STX5	Yes					
O43752	STX6	Yes					
O15400	STX7	Yes					
Q9UNK0	STX8	Yes					
Q8TBP0	TBC1D16	Yes					
P04437	TCRA	Yes					
P04435	TCRB	Yes					
P02787	TF	Yes			Yes		
P02786	TFRC	Yes			Yes	Yes	
Q8WUH2	TGFBRAP1	Yes					
O43493	TGOLN2	Yes			Yes	Yes	
Q86XR7	TICAM2	Yes					
O75204	TMEM127	Yes					
Q8TC26	TMEM163	Yes					
Q6ZMB5	TMEM184A	Yes					
O60784	TOM1	Yes					
Q9UPV9	TRAK1	Yes					
Q99816	TSG101	Yes					
Q14694	USP10	Yes					
P40818	USP8	Yes					
Q9P2Y5	UVRAG	Yes					
Q08AM6	VAC14	Yes					
P19320	VCAM1	Yes					
P15692	VEGFA	Yes					
Q9H270	VPS11	Yes				Yes	
Q9H269	VPS16	Yes				Yes	
Q9P253	VPS18	Yes				Yes	
O75436	VPS26A	Yes		Yes			
Q4G0F5	VPS26B	Yes		Yes			
Q9UK41	VPS28	Yes					
Q9UBQ0	VPS29	Yes		Yes		Yes	Yes
Q96AX1	VPS33A	Yes					
Q9H267	VPS33B	Yes					
Q96QK1	VPS35	Yes		Yes			
P49754	VPS41	Yes					Yes
Q9UN37	VPS4A	Yes					
Q8N3P4	VPS8	Yes					
A8K0Z3	WASH1	Yes					
C4AMC7	WASH3P	Yes					
A8MWX3	WASH4P	Yes					
Q9NQA3	WASH6P	Yes					
Q7Z3T8	ZFYVE16	Yes					Yes
